director,title,star,writer
Alex Kendrick,Courageous,Alex Kendrick,Alex Kendrick
David Frankel,The Big Year,Owen Wilson,Howard Franklin
Miguel Arteta,Cedar Rapids,Ed Helms,Phil Johnston
Sheree Folkson,The Decoy Bride,Kelly Macdonald,Neil Jaworski
Nicole Kassell,A Little Bit of Heaven,Kate Hudson,Gren Wells
Zal Batmanglij,Sound of My Voice,Christopher Denham,Zal Batmanglij
Joe Nussbaum,Prom,Aimee Teegarden,Katie Wech
Yorgos Lanthimos,Alps: Los suplantadores,Stavros Psyllakis,Efthymis Filippou
Ami Canaan Mann,Texas Killing Fields,Sam Worthington,Don Ferrarone
Angelina Jolie,In the Land of Blood and Honey,Zana Marjanovic,Angelina Jolie
Matthew Chapman,The Ledge,Charlie Hunnam,Matthew Chapman
MichaÎl R. Roskam,Bullhead,Matthias Schoenaerts,MichaÎl R. Roskam
Fernando Meirelles,360,Rachel Weisz,Peter Morgan
Imtiaz Ali,Rockstar,Ranbir Kapoor,Imtiaz Ali
Paul Johansson,Atlas Shrugged: Part I,Taylor Schilling,Brian Patrick O'Toole
Rob Minkoff,Flypaper,Patrick Dempsey,Jon Lucas
Juan Carlos Fresnadillo,Intruders,Clive Owen,Nicol·s Casariego
Salim Akil,Jumping the Broom,Paula Patton,Elizabeth Hunter
GorÙ Miyazaki,From Up on Poppy Hill,Sarah Bolger,TetsurÙ Sayama
John Whitesell,"Big Mommas: Like Father, Like Son",Martin Lawrence,Matt Fogel
Malgorzata Szumowska,Elles,Juliette Binoche,Tine Byrckel
Farhan Akhtar,Don 2,Shah Rukh Khan,Farhan Akhtar
Geoffrey Fletcher,Violet & Daisy,Saoirse Ronan,Geoffrey Fletcher
Bavo Defurne,North Sea Texas,Ben Van den Heuvel,AndrÈ Sollie
Christopher Nolan,The Dark Knight Rises,Christian Bale,Jonathan Nolan
Quentin Tarantino,Django Unchained,Jamie Foxx,Quentin Tarantino
Gary Ross,The Hunger Games,Jennifer Lawrence,Gary Ross
Joss Whedon,The Avengers,Robert Downey Jr.,Joss Whedon
Ridley Scott,Prometheus,Noomi Rapace,Jon Spaihts
Peter Jackson,The Hobbit: An Unexpected Journey,Martin Freeman,Fran Walsh
Jason Moore,Pitch Perfect,Anna Kendrick,Kay Cannon
Christopher McQuarrie,Jack Reacher,Tom Cruise,Lee Child
Stephen Chbosky,The Perks of Being a Wallflower,Logan Lerman,Stephen Chbosky
Tom Tykwer,Cloud Atlas,Tom Hanks,David Mitchell
Bill Condon,The Twilight Saga: Breaking Dawn - Part 2,Kristen Stewart,Melissa Rosenberg
Drew Goddard,The Cabin in the Woods,Kristen Connolly,Joss Whedon
Tom Hooper,Les MisÈrables,Hugh Jackman,William Nicholson
Wes Anderson,Moonrise Kingdom,Jared Gilman,Wes Anderson
Sam Mendes,Skyfall,Daniel Craig,Ian Fleming
Phil Lord,21 Jump Street,Jonah Hill,Michael Bacall
Peter Berg,Battleship,Alexander SkarsgÂrd,Jon Hoeber
Rian Johnson,Looper,Joseph Gordon-Levitt,Rian Johnson
Kathryn Bigelow,Zero Dark Thirty,Jessica Chastain,Mark Boal
Rupert Sanders,Snow White and the Huntsman,Kristen Stewart,Evan Daugherty
David O. Russell,Silver Linings Playbook,Bradley Cooper,David O. Russell
Jon Hurwitz,American Reunion,Jason Biggs,Jon Hurwitz
Tim Burton,Dark Shadows,Johnny Depp,Seth Grahame-Smith
Joe Wright,Anna Karenina,Keira Knightley,Tom Stoppard
Marc Webb,The Amazing Spider-Man,Andrew Garfield,James Vanderbilt
Derek Cianfrance,The Place Beyond the Pines,Ryan Gosling,Derek Cianfrance
Ben Affleck,Argo,Ben Affleck,Chris Terrio
Thomas Vinterberg,The Hunt,Mads Mikkelsen,Tobias Lindholm
Steven Soderbergh,Magic Mike,Channing Tatum,Reid Carolin
Tony Gilroy,The Bourne Legacy,Jeremy Renner,Tony Gilroy
J.A. Bayona,The Impossible,Naomi Watts,Sergio G. S·nchez
Harmony Korine,Spring Breakers,Vanessa Hudgens,Harmony Korine
Rich Moore,Wreck-It Ralph,John C. Reilly,Rich Moore
Mark Andrews,Brave,Kelly Macdonald,Brenda Chapman
Pete Travis,Dredd,Karl Urban,John Wagner
John Hillcoat,Lawless,Tom Hardy,Nick Cave
Scott Derrickson,Sinister,Ethan Hawke,Scott Derrickson
Andrew Stanton,John Carter,Taylor Kitsch,Andrew Stanton
Steven Spielberg,Lincoln,Daniel Day-Lewis,Tony Kushner
Adam Shankman,Rock of Ages,Julianne Hough,Justin Theroux
Barry Sonnenfeld,Men in Black 3,Will Smith,Etan Cohen
Robert Zemeckis,Flight,Denzel Washington,John Gatins
Seth MacFarlane,Ted,Mark Wahlberg,Seth MacFarlane
Paul Thomas Anderson,The Master,Philip Seymour Hoffman,Paul Thomas Anderson
David Ayer,End of Watch,Jake Gyllenhaal,David Ayer
Ang Lee,Life of Pi,Suraj Sharma,Yann Martel
Genndy Tartakovsky,Hotel Transylvania,Adam Sandler,Peter Baynham
McG,This Means War,Reese Witherspoon,Timothy Dowling
Sean Anders,That's My Boy,Adam Sandler,David Caspe
Michael Sucsy,The Vow,Rachel McAdams,Abby Kohn
Nima Nourizadeh,Project X,Thomas Mann,Matt Drake
Len Wiseman,Total Recall,Colin Farrell,Kurt Wimmer
Oliver Stone,Savages,Aaron Taylor-Johnson,Shane Salerno
Larry Charles,The Dictator,Sacha Baron Cohen,Sacha Baron Cohen
Martin McDonagh,Seven Psychopaths,Colin Farrell,Martin McDonagh
Jon Kasdan,The First Time,Dylan O'Brien,Jon Kasdan
Judd Apatow,This Is 40,Paul Rudd,Judd Apatow
Scott Hicks,The Lucky One,Zac Efron,Will Fetters
Peter Ramsey,Rise of the Guardians,Hugh Jackman,David Lindsay-Abaire
Jonathan Liebesman,Furia de Titanes 2,Sam Worthington,Dan Mazeau
Brad Peyton,Journey 2: The Mysterious Island,Josh Hutcherson,Brian Gunn
Michael J. Bassett,Terror en Silent Hill 2: la revelaciÛn,Adelaide Clemens,Michael J. Bassett
Daniel Espinosa,Protegiendo al enemigo,Denzel Washington,David Guggenheim
Jonathan Dayton,Ruby Sparks,Paul Dano,Zoe Kazan
Jeff Nichols,Mud,Matthew McConaughey,Jeff Nichols
MÂns MÂrlind,Underworld Awakening,Kate Beckinsale,Len Wiseman
Simon West,The Expendables 2,Sylvester Stallone,Richard Wenk
Paul W.S. Anderson,Resident Evil: Retribution,Milla Jovovich,Paul W.S. Anderson
Josh Boone,Stuck in Love,Greg Kinnear,Josh Boone
Kirk Jones,What to Expect When You're Expecting,Cameron Diaz,Shauna Cross
Olivier Megaton,B˙squeda implacable 2,Liam Neeson,Luc Besson
Leslye Headland,Bachelorette,Kirsten Dunst,Leslye Headland
Josh Trank,Chronicle,Dane DeHaan,Max Landis
James Watkins,The Woman in Black,Daniel Radcliffe,Susan Hill
Nicholas Stoller,The Five-Year Engagement,Jason Segel,Jason Segel
Matt Bettinelli-Olpin,V/H/S,Calvin Reeder,Brad Miska
RZA,The Man with the Iron Fists,Russell Crowe,RZA
Timur Bekmambetov,Abraham Lincoln: Vampire Hunter,Benjamin Walker,Seth Grahame-Smith
Mabrouk El Mechri,The Cold Light of Day,Henry Cavill,Scott Wiper
Mark Tonderai,House at the End of the Street,Jennifer Lawrence,David Loucka
Walter Salles,On the Road,Sam Riley,Jack Kerouac
Brian Klugman,The Words,Bradley Cooper,Brian Klugman
Dan Bradley,Red Dawn,Chris Hemsworth,Carl Ellsworth
Ariel Vromen,The Iceman,Michael Shannon,Morgan Land
Chris Renaud,The Lorax,Zac Efron,Dr. Seuss
James McTeigue,The Raven,John Cusack,Hannah Shakespeare
Jacques Audiard,Rust and Bone,Marion Cotillard,Jacques Audiard
Asger Leth,Man on a Ledge,Sam Worthington,Pablo F. Fenjves
Franck Khalfoun,Maniac,Elijah Wood,Alexandre Aja
Lorene Scafaria,Seeking a Friend for the End of the World,Steve Carell,Lorene Scafaria
Lisa Azuelos,LOL,Miley Cyrus,Lisa Azuelos
Tarsem Singh,Mirror Mirror,Lily Collins,Marc Klein
Nikolaj Arcel,A Royal Affair,Alicia Vikander,Bodil Steensen-Leth
James Mather,Lockout,Guy Pearce,Stephen St. Leger
Chris Butler,ParaNorman,Kodi Smit-McPhee,Chris Butler
Robert Lorenz,Trouble with the Curve,Clint Eastwood,Randy Brown
Noah Baumbach,Frances Ha,Greta Gerwig,Noah Baumbach
Julie Anne Robinson,One for the Money,Katherine Heigl,Stacy Sherman
Andrew Dominik,Killing Them Softly,Brad Pitt,Andrew Dominik
Steve Martino,Ice Age: Continental Drift,Ray Romano,Michael Berg
Frank Coraci,Here Comes the Boom,Kevin James,Allan Loeb
Rodrigo CortÈs,Red Lights,Sigourney Weaver,Rodrigo CortÈs
John Gulager,Piranha 3DD,Danielle Panabaker,Patrick Melton
Boaz Yakin,Safe,Jason Statham,Boaz Yakin
Mike McCoy,Act of Valor,Alex Veadov,Kurt Johnstad
Rob Zombie,The Lords of Salem,Sheri Moon Zombie,Rob Zombie
Kaare Andrews,The ABCs of Death,Ingrid Bols¯ Berdal,Ant Timpson
Bobby Farrelly,The Three Stooges,Sean Hayes,Mike Cerrone
Simon West,Stolen,Nicolas Cage,David Guggenheim
Brian De Palma,"PasiÛn, un asesinato perfecto",Rachel McAdams,Brian De Palma
Baltasar Korm·kur,Contraband,Mark Wahlberg,Aaron Guzikowski
Lee Daniels,The Paperboy,Matthew McConaughey,Peter Dexter
David Wain,Wanderlust,Jennifer Aniston,David Wain
Michael Haneke,Amour,Jean-Louis Trintignant,Michael Haneke
Ole Bornedal,The Possession,Natasha Calis,Juliet Snowden
Eric Darnell,Madagascar 3: Europe's Most Wanted,Ben Stiller,Eric Darnell
Tim Burton,Frankenweenie,Winona Ryder,Leonard Ripps
Akiva Schaffer,The Watch,Ben Stiller,Jared Stern
Terrence Malick,To the Wonder,Ben Affleck,Terrence Malick
Woody Allen,To Rome with Love,Woody Allen,Woody Allen
Tim Story,Think Like a Man,Chris Brown,Keith Merryman
Jay Roach,The Campaign,Will Ferrell,Chris Henchy
Neil Jordan,Byzantium,Saoirse Ronan,Moira Buffini
Alex Kurtzman,People Like Us,Chris Pine,Alex Kurtzman
Colin Trevorrow,Safety Not Guaranteed,Aubrey Plaza,Derek Connolly
Stephen Elliott,About Cherry,Ashley Hinshaw,Stephen Elliott
Marcus Dunstan,The Collection,Josh Stewart,Patrick Melton
Scott Speer,Step Up Revolution,Kathryn McCormick,Amanda Brody
Henry Alex Rubin,Disconnect,Jason Bateman,Andrew Stern
Peter Hedges,The Odd Life of Timothy Green,Jennifer Garner,Peter Hedges
Craig Zobel,Compliance,Ann Dowd,Craig Zobel
Joachim R¯nning,Kon-Tiki,PÂl Sverre Hagen,Petter Skavlan
Nicholas Jarecki,Arbitrage,Richard Gere,Nicholas Jarecki
Sacha Gervasi,Hitchcock,Anthony Hopkins,John J. McLaughlin
Heitor Dhalia,Gone,Amanda Seyfried,Allison Burnett
Juan Solanas,Upside Down,Jim Sturgess,Juan Solanas
David Koepp,Premium Rush,Joseph Gordon-Levitt,David Koepp
Stuart Blumberg,Thanks for Sharing,Mark Ruffalo,Stuart Blumberg
Walter Hill,Bullet to the Head,Sylvester Stallone,Alessandro Camon
Josh Radnor,Liberal Arts,Josh Radnor,Josh Radnor
Felix van Groeningen,El cÌrculo roto,Veerle Baetens,Johan Heldenbergh
Stefan Ruzowitzky,Deadfall,Eric Bana,Zach Dean
Shari Springer Berman,Girl Most Likely,Kristen Wiig,Michelle Morgan
Lee Toland Krieger,Celeste & Jesse Forever,Rashida Jones,Rashida Jones
Rob Cohen,Alex Cross,Tyler Perry,Marc Moss
Ben Lewin,The Sessions,John Hawkes,Ben Lewin
Bradley Parker,Chernobyl Diaries,Jesse McCartney,Oren Peli
Benh Zeitlin,Beasts of the Southern Wild,QuvenzhanÈ Wallis,Lucy Alibar
David Bowers,Diary of a Wimpy Kid: Dog Days,Zachary Gordon,Maya Forbes
David Weaver,The Samaritan,Samuel L. Jackson,Elan Mastai
Robert Redford,The Company You Keep,Robert Redford,Lem Dobbs
Mike Newell,Great Expectations,Toby Irvine,David Nicholls
David Cronenberg,CosmÛpolis,Robert Pattinson,David Cronenberg
David Palmer,Hit and Run,Dax Shepard,Dax Shepard
Anthony Hemingway,Red Tails,Cuba Gooding Jr.,John Ridley
Sergio Castellitto,Twice Born,PenÈlope Cruz,Margaret Mazzantini
Fisher Stevens,Stand Up Guys,Al Pacino,Noah Haidle
Gabriele Muccino,Playing for Keeps,Gerard Butler,Robbie Fox
Don Coscarelli,John Dies at the End,Chase Williamson,Don Coscarelli
Michael Apted,Chasing Mavericks,Jonny Weston,Kario Salem
Sean Baker,Starlet,Dree Hemingway,Sean Baker
Jake Schreier,Robot & Frank,Peter Sarsgaard,Christopher Ford
Ken Kwapis,Big Miracle,Drew Barrymore,Jack Amiel
Joss Whedon,Much Ado About Nothing,Alexis Denisof,Joss Whedon
Gus Van Sant,Promised Land,Matt Damon,John Krasinski
Ry˚hei Kitamura,No One Lives,Luke Evans,David Cohen
Josh Schwartz,Fun Size,Victoria Justice,Max Werner
FranÁois Ozon,En la casa,Fabrice Luchini,Juan Mayorga
Henry Joost,Paranormal Activity 4,Stephen Dunham,Christopher Landon
Peter Lord,The Pirates! Band of Misfits,Hugh Grant,Gideon Defoe
David Frankel,Hope Springs,Meryl Streep,Vanessa Taylor
William Brent Bell,The Devil Inside,Fernanda Andrade,William Brent Bell
Barry Levinson,The Bay,Will Rogers,Michael Wallach
Scott McGehee,What Maisie Knew,Julianne Moore,Nancy Doyne
Andy Fickman,Parental Guidance,Billy Crystal,Lisa Addario
Jamie Travis,"For a Good Time, Call...",Ari Graynor,Lauren Miller
Declan Donnellan,Bel Ami,Robert Pattinson,Guy de Maupassant
Dustin Hoffman,Quartet,Maggie Smith,Ronald Harwood
Anne Fletcher,The Guilt Trip,Barbra Streisand,Dan Fogelman
John Hyams,Universal Soldier: Day of Reckoning,Jean-Claude Van Damme,John Hyams
Brian Robbins,A Thousand Words,Eddie Murphy,Steve Koren
Rob Reiner,The Magic of Belle Isle,Morgan Freeman,Guy Thomas
Matt Piedmont,Casa de mi Padre,Will Ferrell,Andrew Steele
Todd Graff,Joyful Noise,Queen Latifah,Todd Graff
Amy Heckerling,Vamps,Alicia Silverstone,Amy Heckerling
Susanne Bier,Todo lo que necesitas es amor,Pierce Brosnan,Anders Thomas Jensen
Nick Love,The Sweeney,Ray Winstone,Nick Love
James Ponsoldt,Smashed,Mary Elizabeth Winstead,Susan Burke
Todd Lincoln,The Apparition,Ashley Greene,Todd Lincoln
Stephen Frears,Lay the Favorite,Rebecca Hall,D.V. DeVincentis
Gilles Bourdos,Renoir,Michel Bouquet,Jacques Renoir
Ben Wheatley,Sightseers,Alice Lowe,Alice Lowe
Ken Loach,The Angels' Share,Paul Brannigan,Paul Laverty
Sujoy Ghosh,Kahaani,Vidya Balan,Sujoy Ghosh
Joan Carr-Wiggin,If I Were You,Marcia Gay Harden,Joan Carr-Wiggin
Cate Shortland,Lore,Saskia Rosendahl,Cate Shortland
James Marsh,Shadow Dancer,Clive Owen,Tom Bradby
Petter NÊss,Into the White,Florian Lukas,Ole Meldgaard
Tyler Perry,Madea's Witness Protection,Tyler Perry,Tyler Perry
Sally Potter,Ginger & Rosa,Elle Fanning,Sally Potter
Mira Nair,The Reluctant Fundamentalist,Riz Ahmed,Javed Akhtar
Haifaa Al-Mansour,La bicicleta verde,Waad Mohammed,Haifaa Al-Mansour
Paco Plaza,[REC] 3: Genesis,Leticia Dolera,Luiso Berdejo
Ramin Bahrani,At Any Price,Dennis Quaid,Ramin Bahrani
Reema Kagti,Talaash,Aamir Khan,Farhan Akhtar
Dario Argento,Dracula 3D,Thomas Kretschmann,Dario Argento
Paul Weitz,Being Flynn,Paul Dano,Paul Weitz
David Brooks,ATM,Alice Eve,Chris Sparling
Pablo LarraÌn,No,Gael GarcÌa Bernal,Pedro Peirano
David Chase,Not Fade Away,John Magaro,David Chase
Michael Mohan,Save the Date,Lizzy Caplan,Jeffrey Brown
Gauri Shinde,English Vinglish,Sridevi,Gauri Shinde
Tim Heidecker,Tim and Eric's Billion Dollar Movie,Tim Heidecker,Tim Heidecker
Nicol·s LÛpez,Aftershock,Eli Roth,Nicol·s LÛpez
BenoÓt Jacquot,"Farewell, My Queen",LÈa Seydoux,BenoÓt Jacquot
Brian Dannelly,Struck by Lightning,Chris Colfer,Chris Colfer
Tobias Lindholm,A Hijacking,Pilou AsbÊk,Tobias Lindholm
Roger Michell,Hyde Park on Hudson,Bill Murray,Richard Nelson
Homi Adajania,Cocktail,Saif Ali Khan,Imtiaz Ali
Yaron Zilberman,A Late Quartet,Philip Seymour Hoffman,Seth Grossman
Martin Scorsese,The Wolf of Wall Street,Leonardo DiCaprio,Terence Winter
James Wan,The Conjuring,Patrick Wilson,Chad Hayes
Denis Villeneuve,Prisoners,Hugh Jackman,Aaron Guzikowski
Chris Buck,Frozen,Kristen Bell,Jennifer Lee
Louis Leterrier,Now You See Me,Jesse Eisenberg,Ed Solomon
Andy Muschietti,Mam·,Jessica Chastain,Andy Muschietti
Spike Jonze,Her,Joaquin Phoenix,Spike Jonze
Zack Snyder,Man of Steel,Henry Cavill,David S. Goyer
Rawson Marshall Thurber,We're the Millers,Jason Sudeikis,Bob Fisher
Baz Luhrmann,El gran Gatsby,Leonardo DiCaprio,Baz Luhrmann
Abdellatif Kechiche,Blue Is the Warmest Color,LÈa Seydoux,Abdellatif Kechiche
Lars von Trier,NinfomanÌa: primera parte,Charlotte Gainsbourg,Lars von Trier
Guillermo del Toro,Pacific Rim,Idris Elba,Travis Beacham
Denis Villeneuve,Enemigos idÈnticos,Jake Gyllenhaal,JosÈ Saramago
Francis Lawrence,The Hunger Games: Catching Fire,Jennifer Lawrence,Simon Beaufoy
David O. Russell,American Hustle,Christian Bale,Eric Warren Singer
Alfonso CuarÛn,Gravity,Sandra Bullock,Alfonso CuarÛn
Steve McQueen,12 Years a Slave,Chiwetel Ejiofor,John Ridley
J.J. Abrams,Star Trek Into Darkness,Chris Pine,Roberto Orci
Shane Black,Iron Man 3,Robert Downey Jr.,Drew Pearce
Antoine Fuqua,Olympus Has Fallen,Gerard Butler,Creighton Rothenberger
Joseph Kosinski,Oblivion,Tom Cruise,Karl Gajdusek
Jean-Marc VallÈe,Dallas Buyers Club,Matthew McConaughey,Craig Borten
Richard Curtis,About Time,Domhnall Gleeson,Richard Curtis
Marc Forster,World War Z,Brad Pitt,Matthew Michael Carnahan
Ruben Fleischer,Gangster Squad,Sean Penn,Will Beall
Peter Berg,Lone Survivor,Mark Wahlberg,Peter Berg
Kimberly Peirce,Carrie,ChloÎ Grace Moretz,Lawrence D. Cohen
Alan Taylor,Thor: The Dark World,Chris Hemsworth,Christopher Yost
Ron Howard,Rush,Daniel Br¸hl,Peter Morgan
Evan Goldberg,This Is the End,James Franco,Seth Rogen
Joon-ho Bong,El expreso del miedo,Chris Evans,Joon-ho Bong
James DeMonaco,La noche de la expiaciÛn,Ethan Hawke,James DeMonaco
Justin Lin,Fast & Furious 6,Vin Diesel,Chris Morgan
Eli Roth,The Green Inferno,Lorenza Izzo,Guillermo Amoedo
Dennis Dugan,Grown Ups 2,Adam Sandler,Fred Wolf
Jeff Wadlow,Kick-Ass 2,Aaron Taylor-Johnson,Jeff Wadlow
Peter Jackson,The Hobbit: The Desolation of Smaug,Ian McKellen,Fran Walsh
Richard LaGravenese,Beautiful Creatures,Alice Englert,Richard LaGravenese
Ridley Scott,The Counsellor,Michael Fassbender,Cormac McCarthy
Fede Alvarez,Evil Dead,Jane Levy,Fede Alvarez
Ben Stiller,The Secret Life of Walter Mitty,Ben Stiller,Steve Conrad
Neill Blomkamp,Elysium,Matt Damon,Neill Blomkamp
Edgar Wright,The World's End,Simon Pegg,Simon Pegg
Paul Feig,The Heat,Sandra Bullock,Katie Dippold
Luc Besson,The Family,Robert De Niro,Luc Besson
Jonathan Glazer,Under the Skin,Scarlett Johansson,Walter Campbell
Pierre Coffin,Despicable Me 2,Steve Carell,Cinco Paul
Joseph Gordon-Levitt,Don Jon,Joseph Gordon-Levitt,Joseph Gordon-Levitt
Harald Zwart,The Mortal Instruments: City of Bones,Lily Collins,Jessica Postigo
Spike Lee,Old Boy,Josh Brolin,Garon Tsuchiya
Tommy Wirkola,Hansel y Gretel: Cazadores de brujas,Jeremy Renner,Tommy Wirkola
Lasse Hallstrˆm,Safe Haven,Julianne Hough,Dana Stevens
Jon M. Chu,G.I. Joe: Retaliation,Dwayne Johnson,Rhett Reese
Elizabeth Banks,Movie 43,Emma Stone,Rocky Russo
Lars von Trier,NinfomanÌa: segunda parte,Charlotte Gainsbourg,Lars von Trier
Mikael HÂfstrˆm,Escape Plan,Sylvester Stallone,Miles Chapman
Gavin Hood,Ender's Game,Harrison Ford,Gavin Hood
Scott Cooper,Out of the Furnace,Christian Bale,Brad Ingelsby
Mike Flanagan,Oculus,Karen Gillan,Mike Flanagan
Michael Bay,Pain & Gain,Mark Wahlberg,Christopher Markus
Chan-wook Park,Stoker,Mia Wasikowska,Wentworth Miller
Kirk De Micco,The Croods,Nicolas Cage,Chris Sanders
Jee-woon Kim,The Last Stand,Arnold Schwarzenegger,Andrew Knauer
James Ward Byrkit,Coherence,Emily Baldoni,James Ward Byrkit
James Mangold,The Wolverine,Hugh Jackman,Mark Bomback
Jonathan Levine,Warm Bodies,Nicholas Hoult,Jonathan Levine
John Luessenhop,Texas Chainsaw 3D,Alexandra Daddario,Adam Marcus
Paul Greengrass,Captain Phillips,Tom Hanks,Billy Ray
James Ponsoldt,The Spectacular Now,Miles Teller,Scott Neustadter
Todd Phillips,The Hangover Part III,Bradley Cooper,Todd Phillips
Shawn Levy,The Internship,Vince Vaughn,Vince Vaughn
Alexandre Aja,Horns,Daniel Radcliffe,Keith Bunin
Gore Verbinski,The Lone Ranger,Johnny Depp,Justin Haythe
Sam Raimi,Oz the Great and Powerful,James Franco,Mitchell Kapner
Anne Fontaine,Adore,Naomi Watts,Anne Fontaine
Dan Scanlon,Monsters University,Billy Crystal,Dan Scanlon
Nicolas Winding Refn,SÛlo Dios perdona,Ryan Gosling,Nicolas Winding Refn
Roland Emmerich,White House Down,Channing Tatum,James Vanderbilt
Michael Dowse,What If,Daniel Radcliffe,Elan Mastai
Giuseppe Tornatore,The Best Offer,Geoffrey Rush,Giuseppe Tornatore
James Wan,Insidious: Chapter 2,Patrick Wilson,Leigh Whannell
Steven Soderbergh,Side Effects,Rooney Mara,Scott Z. Burns
Thor Freudenthal,Percy Jackson: Sea of Monsters,Logan Lerman,Marc Guggenheim
Steven Knight,Locke,Tom Hardy,Steven Knight
Dean Parisot,RED 2,Bruce Willis,Jon Hoeber
John Carney,Begin Again,Keira Knightley,John Carney
David Twohy,Riddick,Vin Diesel,David Twohy
Andrew Niccol,The Host,Saoirse Ronan,Andrew Niccol
Jon S. Baird,Filth,James McAvoy,Jon S. Baird
Brian Helgeland,42,Chadwick Boseman,Brian Helgeland
John Moore,A Good Day to Die Hard,Bruce Willis,Skip Woods
M. Night Shyamalan,After Earth,Jaden Smith,Gary Whitta
Nat Faxon,The Way Way Back,Steve Carell,Nat Faxon
Carl Rinsch,47 Ronin,Keanu Reeves,Chris Morgan
Woody Allen,Blue Jasmine,Cate Blanchett,Woody Allen
Lee Daniels,Lee Daniels' The Butler,Forest Whitaker,Danny Strong
Gary Fleder,Homefront,Jason Statham,Sylvester Stallone
John Wells,August: Osage County,Meryl Streep,Tracy Letts
Bryan Singer,Jack the Giant Slayer,Nicholas Hoult,Darren Lemke
Robert Schwentke,R.I.P.D.,Ryan Reynolds,Phil Hay
Jon Lucas,21 & Over,Miles Teller,Jon Lucas
Niels Arden Oplev,Dead Man Down,Colin Farrell,J.H. Wyman
Ethan Coen,Inside Llewyn Davis,Oscar Isaac,Joel Coen
Paolo Sorrentino,The Great Beauty,Toni Servillo,Paolo Sorrentino
Robert Rodriguez,Machete Kills,Danny Trejo,Kyle Ward
Jim Jarmusch,SÛlo los amantes sobreviven,Tilda Swinton,Jim Jarmusch
John Lee Hancock,Saving Mr. Banks,Emma Thompson,Kelly Marcel
